Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
1998,United States of America,840,Output,14,14,Output (valuation not defined),2695,"Articles of concrete, cement and plaster",2695,3.754975390625E10,M,3.754975390625E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2695,"Articles of concrete, cement and plaster",2695,4.0988796875E10,M,4.0988796875E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2695,"Articles of concrete, cement and plaster",2695,4.041534375E10,M,4.041534375E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2695,"Articles of concrete, cement and plaster",2695,4.023859375E10,M,4.023859375E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2695,"Articles of concrete, cement and plaster",2695,4.11763046875E10,M,4.11763046875E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2695,"Articles of concrete, cement and plaster",2695,4.206783984375E10,M,4.206783984375E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2695,"Articles of concrete, cement and plaster",2695,4.49356171875E10,M,4.49356171875E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2695,"Articles of concrete, cement and plaster",2695,5.2704E10,M,5.2704E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2696,"Cutting, shaping & finishing of stone",2696,1.30154602051E9,M,1.30154602051E9,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2696,"Cutting, shaping & finishing of stone",2696,1.49175598145E9,M,1.49175598145E9,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2696,"Cutting, shaping & finishing of stone",2696,1.64536303711E9,M,1.64536303711E9,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2696,"Cutting, shaping & finishing of stone",2696,1.74862304688E9,M,1.74862304688E9,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2696,"Cutting, shaping & finishing of stone",2696,2.20246508789E9,M,2.20246508789E9,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2696,"Cutting, shaping & finishing of stone",2696,2.34423901367E9,M,2.34423901367E9,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2696,"Cutting, shaping & finishing of stone",2696,2.42392895508E9,M,2.42392895508E9,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2696,"Cutting, shaping & finishing of stone",2696,2.861E9,M,2.861E9,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2699,Other non-metallic mineral products n.e.c.,2699,2.524874023438E10,M,2.524874023438E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2699,Other non-metallic mineral products n.e.c.,2699,2.482117382813E10,M,2.482117382813E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2699,Other non-metallic mineral products n.e.c.,2699,2.524212109375E10,M,2.524212109375E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2699,Other non-metallic mineral products n.e.c.,2699,2.422949804688E10,M,2.422949804688E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2699,Other non-metallic mineral products n.e.c.,2699,2.561192773438E10,M,2.561192773438E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2699,Other non-metallic mineral products n.e.c.,2699,2.709576367188E10,M,2.709576367188E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2699,Other non-metallic mineral products n.e.c.,2699,2.9334453125E10,M,2.9334453125E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2699,Other non-metallic mineral products n.e.c.,2699,3.2561E10,M,3.2561E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2710,Basic iron and steel,2710,7.5871015625E10,M,7.5871015625E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2710,Basic iron and steel,2710,6.9896328125E10,M,6.9896328125E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2710,Basic iron and steel,2710,7.04704921875E10,M,7.04704921875E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2710,Basic iron and steel,2710,6.055853515625E10,M,6.055853515625E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2710,Basic iron and steel,2710,6.30294921875E10,M,6.30294921875E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2710,Basic iron and steel,2710,6.117472265625E10,M,6.117472265625E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2710,Basic iron and steel,2710,9.6576515625E10,M,9.6576515625E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2710,Basic iron and steel,2710,1.07232E11,M,1.07232E11,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2720,Basic precious and non-ferrous metals,2720,6.25449765625E10,M,6.25449765625E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2720,Basic precious and non-ferrous metals,2720,6.000409765625E10,M,6.000409765625E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2720,Basic precious and non-ferrous metals,2720,5.775787890625E10,M,5.775787890625E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2720,Basic precious and non-ferrous metals,2720,5.104766796875E10,M,5.104766796875E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2720,Basic precious and non-ferrous metals,2720,5.157378125E10,M,5.157378125E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2720,Basic precious and non-ferrous metals,2720,5.155413671875E10,M,5.155413671875E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2720,Basic precious and non-ferrous metals,2720,5.82095390625E10,M,5.82095390625E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2720,Basic precious and non-ferrous metals,2720,6.8924E10,M,6.8924E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2731,Casting of iron and steel,2731,1.730163671875E10,M,1.730163671875E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2731,Casting of iron and steel,2731,1.753158007813E10,M,1.753158007813E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2731,Casting of iron and steel,2731,1.796998828125E10,M,1.796998828125E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2731,Casting of iron and steel,2731,1.6667859375E10,M,1.6667859375E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2731,Casting of iron and steel,2731,1.496634472656E10,M,1.496634472656E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2731,Casting of iron and steel,2731,1.465250195313E10,M,1.465250195313E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2731,Casting of iron and steel,2731,1.682806054688E10,M,1.682806054688E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2731,Casting of iron and steel,2731,1.8739E10,M,1.8739E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2732,Casting of non-ferrous metals,2732,1.204274316406E10,M,1.204274316406E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2732,Casting of non-ferrous metals,2732,1.212310351563E10,M,1.212310351563E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2732,Casting of non-ferrous metals,2732,1.184153320313E10,M,1.184153320313E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2732,Casting of non-ferrous metals,2732,1.130749804688E10,M,1.130749804688E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2732,Casting of non-ferrous metals,2732,1.227127441406E10,M,1.227127441406E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2732,Casting of non-ferrous metals,2732,1.108845214844E10,M,1.108845214844E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2732,Casting of non-ferrous metals,2732,1.126482910156E10,M,1.126482910156E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2732,Casting of non-ferrous metals,2732,1.1783E10,M,1.1783E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2811,Structural metal products,2811,5.42945703125E10,M,5.42945703125E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2811,Structural metal products,2811,5.71335078125E10,M,5.71335078125E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2811,Structural metal products,2811,6.076264453125E10,M,6.076264453125E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2811,Structural metal products,2811,5.85951953125E10,M,5.85951953125E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2811,Structural metal products,2811,5.651423046875E10,M,5.651423046875E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2811,Structural metal products,2811,5.633386328125E10,M,5.633386328125E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2811,Structural metal products,2811,6.368184765625E10,M,6.368184765625E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2811,Structural metal products,2811,7.3557E10,M,7.3557E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2812,"Tanks, reservoirs and containers of metal",2812,1.142011425781E10,M,1.142011425781E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2812,"Tanks, reservoirs and containers of metal",2812,1.17770078125E10,M,1.17770078125E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2812,"Tanks, reservoirs and containers of metal",2812,1.213108007813E10,M,1.213108007813E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2812,"Tanks, reservoirs and containers of metal",2812,1.170935058594E10,M,1.170935058594E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2812,"Tanks, reservoirs and containers of metal",2812,1.19928671875E10,M,1.19928671875E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2812,"Tanks, reservoirs and containers of metal",2812,1.184141796875E10,M,1.184141796875E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2812,"Tanks, reservoirs and containers of metal",2812,9.31845996094E9,M,9.31845996094E9,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2812,"Tanks, reservoirs and containers of metal",2812,1.0508E10,M,1.0508E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2813,Steam generators,2813,4.15932421875E9,M,4.15932421875E9,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2813,Steam generators,2813,3.58617895508E9,M,3.58617895508E9,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2813,Steam generators,2813,3.98904003906E9,M,3.98904003906E9,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2813,Steam generators,2813,4.04314501953E9,M,4.04314501953E9,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2813,Steam generators,2813,3.64486694336E9,M,3.64486694336E9,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2813,Steam generators,2813,3.32177197266E9,M,3.32177197266E9,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2813,Steam generators,2813,3.20269897461E9,M,3.20269897461E9,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2813,Steam generators,2813,3.714E9,M,3.714E9,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2891,Metal forging/pressing/stamping/roll-forming,2891,2.472209570313E10,M,2.472209570313E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2891,Metal forging/pressing/stamping/roll-forming,2891,2.5206390625E10,M,2.5206390625E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2891,Metal forging/pressing/stamping/roll-forming,2891,2.673205273438E10,M,2.673205273438E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2891,Metal forging/pressing/stamping/roll-forming,2891,2.371141210938E10,M,2.371141210938E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2891,Metal forging/pressing/stamping/roll-forming,2891,2.05703984375E10,M,2.05703984375E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2891,Metal forging/pressing/stamping/roll-forming,2891,2.085501757813E10,M,2.085501757813E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2891,Metal forging/pressing/stamping/roll-forming,2891,2.4892234375E10,M,2.4892234375E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2891,Metal forging/pressing/stamping/roll-forming,2891,2.8181E10,M,2.8181E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2892,Treatment & coating of metals,2892,4.588140625E10,M,4.588140625E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2892,Treatment & coating of metals,2892,4.68311640625E10,M,4.68311640625E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2892,Treatment & coating of metals,2892,5.049340625E10,M,5.049340625E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2892,Treatment & coating of metals,2892,4.776889453125E10,M,4.776889453125E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2892,Treatment & coating of metals,2892,4.5577171875E10,M,4.5577171875E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2892,Treatment & coating of metals,2892,4.441221484375E10,M,4.441221484375E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2892,Treatment & coating of metals,2892,4.8776984375E10,M,4.8776984375E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2892,Treatment & coating of metals,2892,5.4577E10,M,5.4577E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2893,"Cutlery, hand tools and general hardware",2893,3.543344140625E10,M,3.543344140625E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2893,"Cutlery, hand tools and general hardware",2893,3.589294140625E10,M,3.589294140625E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2893,"Cutlery, hand tools and general hardware",2893,3.7428984375E10,M,3.7428984375E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2893,"Cutlery, hand tools and general hardware",2893,3.371759765625E10,M,3.371759765625E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2893,"Cutlery, hand tools and general hardware",2893,3.308567578125E10,M,3.308567578125E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2893,"Cutlery, hand tools and general hardware",2893,3.061391601563E10,M,3.061391601563E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2893,"Cutlery, hand tools and general hardware",2893,3.197650195313E10,M,3.197650195313E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2893,"Cutlery, hand tools and general hardware",2893,3.3746E10,M,3.3746E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2899,Other fabricated metal products n.e.c.,2899,6.300559375E10,M,6.300559375E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2899,Other fabricated metal products n.e.c.,2899,6.2821109375E10,M,6.2821109375E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2899,Other fabricated metal products n.e.c.,2899,6.39947421875E10,M,6.39947421875E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2899,Other fabricated metal products n.e.c.,2899,6.03665546875E10,M,6.03665546875E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2899,Other fabricated metal products n.e.c.,2899,6.287058984375E10,M,6.287058984375E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2899,Other fabricated metal products n.e.c.,2899,6.250912890625E10,M,6.250912890625E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2899,Other fabricated metal products n.e.c.,2899,5.8188171875E10,M,5.8188171875E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2899,Other fabricated metal products n.e.c.,2899,6.2731E10,M,6.2731E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2911,Engines & turbines (not for transport equipment),2911,2.664997460938E10,M,2.664997460938E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2911,Engines & turbines (not for transport equipment),2911,2.896371484375E10,M,2.896371484375E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2911,Engines & turbines (not for transport equipment),2911,2.916812109375E10,M,2.916812109375E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2911,Engines & turbines (not for transport equipment),2911,3.186679882813E10,M,3.186679882813E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2911,Engines & turbines (not for transport equipment),2911,3.373673828125E10,M,3.373673828125E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2911,Engines & turbines (not for transport equipment),2911,3.398522265625E10,M,3.398522265625E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2911,Engines & turbines (not for transport equipment),2911,2.975921875E10,M,2.975921875E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2911,Engines & turbines (not for transport equipment),2911,3.3935E10,M,3.3935E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2912,"Pumps, compressors, taps and valves",2912,4.463458984375E10,M,4.463458984375E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2912,"Pumps, compressors, taps and valves",2912,4.3084921875E10,M,4.3084921875E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2912,"Pumps, compressors, taps and valves",2912,4.429511328125E10,M,4.429511328125E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2912,"Pumps, compressors, taps and valves",2912,4.180943359375E10,M,4.180943359375E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2912,"Pumps, compressors, taps and valves",2912,3.98972578125E10,M,3.98972578125E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2912,"Pumps, compressors, taps and valves",2912,4.08953671875E10,M,4.08953671875E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2912,"Pumps, compressors, taps and valves",2912,4.3242265625E10,M,4.3242265625E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2912,"Pumps, compressors, taps and valves",2912,4.1044E10,M,4.1044E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2913,"Bearings, gears, gearing & driving elements",2913,1.202158203125E10,M,1.202158203125E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2913,"Bearings, gears, gearing & driving elements",2913,1.184725683594E10,M,1.184725683594E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2913,"Bearings, gears, gearing & driving elements",2913,1.192595214844E10,M,1.192595214844E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2913,"Bearings, gears, gearing & driving elements",2913,1.054973730469E10,M,1.054973730469E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2913,"Bearings, gears, gearing & driving elements",2913,1.054171484375E10,M,1.054171484375E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2913,"Bearings, gears, gearing & driving elements",2913,1.033504492188E10,M,1.033504492188E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2913,"Bearings, gears, gearing & driving elements",2913,1.092101953125E10,M,1.092101953125E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2913,"Bearings, gears, gearing & driving elements",2913,1.177E10,M,1.177E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2914,"Ovens, furnaces and furnace burners",2914,2.68589990234E9,M,2.68589990234E9,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2914,"Ovens, furnaces and furnace burners",2914,2.31767504883E9,M,2.31767504883E9,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2914,"Ovens, furnaces and furnace burners",2914,2.59529907227E9,M,2.59529907227E9,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2914,"Ovens, furnaces and furnace burners",2914,2.26702197266E9,M,2.26702197266E9,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2914,"Ovens, furnaces and furnace burners",2914,1.63621105957E9,M,1.63621105957E9,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2914,"Ovens, furnaces and furnace burners",2914,1.57997595215E9,M,1.57997595215E9,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2914,"Ovens, furnaces and furnace burners",2914,1.56071105957E9,M,1.56071105957E9,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2914,"Ovens, furnaces and furnace burners",2914,1.901E9,M,1.901E9,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2915,Lifting and handling equipment,2915,1.787598632813E10,M,1.787598632813E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2915,Lifting and handling equipment,2915,1.810851171875E10,M,1.810851171875E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2915,Lifting and handling equipment,2915,1.959630859375E10,M,1.959630859375E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2915,Lifting and handling equipment,2915,1.81155234375E10,M,1.81155234375E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2915,Lifting and handling equipment,2915,1.543814453125E10,M,1.543814453125E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2915,Lifting and handling equipment,2915,1.555174609375E10,M,1.555174609375E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2915,Lifting and handling equipment,2915,1.792855859375E10,M,1.792855859375E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2915,Lifting and handling equipment,2915,2.2207E10,M,2.2207E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2919,Other general purpose machinery,2919,5.076478515625E10,M,5.076478515625E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2919,Other general purpose machinery,2919,5.20206171875E10,M,5.20206171875E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2919,Other general purpose machinery,2919,5.23477734375E10,M,5.23477734375E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2919,Other general purpose machinery,2919,4.979931640625E10,M,4.979931640625E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2919,Other general purpose machinery,2919,5.09391875E10,M,5.09391875E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2919,Other general purpose machinery,2919,4.95645234375E10,M,4.95645234375E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2919,Other general purpose machinery,2919,5.95666484375E10,M,5.95666484375E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2919,Other general purpose machinery,2919,7.3439E10,M,7.3439E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2921,Agricultural and forestry machinery,2921,2.43029375E10,M,2.43029375E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2921,Agricultural and forestry machinery,2921,1.932097070313E10,M,1.932097070313E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2921,Agricultural and forestry machinery,2921,2.0839328125E10,M,2.0839328125E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2921,Agricultural and forestry machinery,2921,2.079326171875E10,M,2.079326171875E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2921,Agricultural and forestry machinery,2921,2.12572109375E10,M,2.12572109375E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2921,Agricultural and forestry machinery,2921,2.362003125E10,M,2.362003125E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2921,Agricultural and forestry machinery,2921,2.510864257813E10,M,2.510864257813E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2921,Agricultural and forestry machinery,2921,2.8437E10,M,2.8437E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2922,Machine tools,2922,2.077685546875E10,M,2.077685546875E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2922,Machine tools,2922,2.091947851563E10,M,2.091947851563E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2922,Machine tools,2922,2.083963476563E10,M,2.083963476563E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2922,Machine tools,2922,1.815324414063E10,M,1.815324414063E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2922,Machine tools,2922,1.57904296875E10,M,1.57904296875E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2922,Machine tools,2922,1.448496875E10,M,1.448496875E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2922,Machine tools,2922,1.131753710938E10,M,1.131753710938E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2922,Machine tools,2922,1.1821E10,M,1.1821E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2923,Machinery for metallurgy,2923,6.6170202637E8,M,6.6170202637E8,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2923,Machinery for metallurgy,2923,4.2391598511E8,M,4.2391598511E8,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2923,Machinery for metallurgy,2923,5.7925E8,M,5.7925E8,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2923,Machinery for metallurgy,2923,4.9404800415E8,M,4.9404800415E8,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2923,Machinery for metallurgy,2923,4.9101300049E8,M,4.9101300049E8,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2923,Machinery for metallurgy,2923,5.4117602539E8,M,5.4117602539E8,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2923,Machinery for metallurgy,2923,4.7906201172E8,M,4.7906201172E8,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2923,Machinery for metallurgy,2923,6.14E8,M,6.14E8,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2924,Machinery for mining & construction,2924,3.302698046875E10,M,3.302698046875E10,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2924,Machinery for mining & construction,2924,3.135773828125E10,M,3.135773828125E10,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2924,Machinery for mining & construction,2924,3.067725585938E10,M,3.067725585938E10,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2924,Machinery for mining & construction,2924,2.906545703125E10,M,2.906545703125E10,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2924,Machinery for mining & construction,2924,2.661566992188E10,M,2.661566992188E10,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2924,Machinery for mining & construction,2924,2.776561914063E10,M,2.776561914063E10,
2004,United States of America,840,Output,14,14,Output (valuation not defined),2924,Machinery for mining & construction,2924,3.518409375E10,M,3.518409375E10,
2005,United States of America,840,Output,14,14,Output (valuation not defined),2924,Machinery for mining & construction,2924,4.18E10,M,4.18E10,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2925,Food/beverage/tobacco processing machinery,2925,2.90683789063E9,M,2.90683789063E9,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2925,Food/beverage/tobacco processing machinery,2925,2.90737207031E9,M,2.90737207031E9,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2925,Food/beverage/tobacco processing machinery,2925,2.86040209961E9,M,2.86040209961E9,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2925,Food/beverage/tobacco processing machinery,2925,2.70779101563E9,M,2.70779101563E9,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2925,Food/beverage/tobacco processing machinery,2925,2.88028295898E9,M,2.88028295898E9,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2925,Food/beverage/tobacco processing machinery,2925,3.03370092773E9,M,3.03370092773E9,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2926,"Machinery for textile, apparel and leather",2926,2.41861303711E9,M,2.41861303711E9,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2926,"Machinery for textile, apparel and leather",2926,2.38755200195E9,M,2.38755200195E9,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2926,"Machinery for textile, apparel and leather",2926,2.40329296875E9,M,2.40329296875E9,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2926,"Machinery for textile, apparel and leather",2926,1.95438305664E9,M,1.95438305664E9,
2002,United States of America,840,Output,14,14,Output (valuation not defined),2926,"Machinery for textile, apparel and leather",2926,1.48355505371E9,M,1.48355505371E9,
2003,United States of America,840,Output,14,14,Output (valuation not defined),2926,"Machinery for textile, apparel and leather",2926,1.4067590332E9,M,1.4067590332E9,
1998,United States of America,840,Output,14,14,Output (valuation not defined),2927,Weapons and ammunition,2927,6.34733984375E9,M,6.34733984375E9,
1999,United States of America,840,Output,14,14,Output (valuation not defined),2927,Weapons and ammunition,2927,6.29799414063E9,M,6.29799414063E9,
2000,United States of America,840,Output,14,14,Output (valuation not defined),2927,Weapons and ammunition,2927,5.91178417969E9,M,5.91178417969E9,
2001,United States of America,840,Output,14,14,Output (valuation not defined),2927,Weapons and ammunition,2927,5.82095996094E9,M,5.82095996094E9,
